Symbol	cellType
FHL5	Normal_Fibroblast
FNDC5	Normal_Fibroblast
FRMPD1	Normal_Fibroblast
FZD4	Normal_Fibroblast
G0S2	Normal_Fibroblast
GDF10	Normal_Fibroblast
GHR	Normal_Fibroblast
GPD1	Normal_Fibroblast
HBA1	Normal_Fibroblast
HBA2	Normal_Fibroblast
HBB	Normal_Fibroblast
HBD	Normal_Fibroblast
HIGD1B	Normal_Fibroblast
HRCT1	Normal_Fibroblast
IL33	Normal_Fibroblast
KANK3	Normal_Fibroblast
KCNA2	Normal_Fibroblast
KCNAB1	Normal_Fibroblast
KLF2	Normal_Fibroblast
KRT222	Normal_Fibroblast
LIFR	Normal_Fibroblast
LMO3	Normal_Fibroblast
LRAT	Normal_Fibroblast
LRP1B	Normal_Fibroblast
MLXIPL	Normal_Fibroblast
NEGR1	Normal_Fibroblast
NOVA1	Normal_Fibroblast
NPR1	Normal_Fibroblast
NPY1R	Normal_Fibroblast
NTN1	Normal_Fibroblast
NTN4	Normal_Fibroblast
PCOLCE2	Normal_Fibroblast
PGM5	Normal_Fibroblast
PID1	Normal_Fibroblast
PLIN1	Normal_Fibroblast
PLIN4	Normal_Fibroblast
PPARG	Normal_Fibroblast
PPP1R1A	Normal_Fibroblast
PRG2	Normal_Fibroblast
PXDNL	Normal_Fibroblast
REEP1	Normal_Fibroblast
RET	Normal_Fibroblast
S1PR1	Normal_Fibroblast
SCARA5	Normal_Fibroblast
SCARF1	Normal_Fibroblast
SCN4A	Normal_Fibroblast
SCN4B	Normal_Fibroblast
SDPR	Normal_Fibroblast
SEC14L5	Normal_Fibroblast
SEMA6C	Normal_Fibroblast
SERINC4	Normal_Fibroblast
SGCA	Normal_Fibroblast
SH2D1A	Normal_Fibroblast
SLC16A12	Normal_Fibroblast
SLC19A3	Normal_Fibroblast
SLC1A2	Normal_Fibroblast
SLC2A4	Normal_Fibroblast
SLC7A4	Normal_Fibroblast
SLC8A1	Normal_Fibroblast
SMOC1	Normal_Fibroblast
SPAG17	Normal_Fibroblast
SPRR2F	Normal_Fibroblast
STEAP4	Normal_Fibroblast
TCF7L1	Normal_Fibroblast
TEF	Normal_Fibroblast
TNMD	Normal_Fibroblast
TNNT3	Normal_Fibroblast
TNXB	Normal_Fibroblast
TPSAB1	Normal_Fibroblast
TPSB2	Normal_Fibroblast
TRHDE	Normal_Fibroblast
VIPR1	Normal_Fibroblast
VIT	Normal_Fibroblast
VSIG10L	Normal_Fibroblast
VWF	Normal_Fibroblast
WDR17	Normal_Fibroblast
WNT11	Normal_Fibroblast
ZDHHC11	Normal_Fibroblast
ZNF304	Normal_Fibroblast
ZNF839	Normal_Fibroblast
