Symbol	CellType	Source	index	duplicated	prior
CCL8	Macrophages_M1	LM22	785	2	0
CCL8	Macrophages_M2	LM22	831	1	0
CCND2	NK_activated	LM22	636	1	0
CCND2	Tregs	Tirosh	1511	1	0
CCR1	Macrophages	Tirosh	1264	0	1
CCR10	Plasma_cells	LM22	128	0	1
CCR2	Monocytes	LM22	698	0	1
CCR3	Neutrophils	LM22	1088	0	1
CCR4	Tregs	Tirosh	1677	0	1
CCR5	Tcells_gamma_delta	LM22	520	1	1
CCR5	Tregs	Tirosh	1593	1	1
CCR6	B_cells_memory	LM22	67	1	1
CCR6	Bcells	Tirosh	1202	2	1
CCR6	CD4_memory_rest_Tcells	LM22	294	1	1
CCR7	CD4_naive_Tcells	LM22	244	1	0
CCR7	DC_activated	LM22	912	2	0
CCR7	Macrophages_M1	LM22	786	2	0
CCR7	Tcells_naive	Ramin	1801	1	0
CCR8	Tregs	Tirosh	1488	0	1
CD14	Macrophages	Tirosh	1211	1	1
CD14	Macrophages_Monocyte	S3_Schelker	1746	1	1
CD160	NK_resting	LM22	579	1	0
CD160	Tcells_gamma_delta	LM22	521	1	0
CD163	Macrophages	Tirosh	1210	1	1
CD163	Macrophages_Monocyte	S3_Schelker	1748	1	1
CD163	Macrophages	Danaher	1854	1	0
CD180	B_cells_memory	LM22	68	1	1
CD180	B_cells_naive	LM22	9	1	1
CD19	B_cells_memory	LM22	69	1	1
CD19	B_cells_naive	LM22	10	2	1
CD19	Bcells	Tirosh	1179	2	1
CD19	Bcells	S3_Schelker	1741	1	1
CD19	Bcells	Danaher	1826	1	0
CD1A	DC_resting	LM22	870	0	1
CD1B	DC_activated	LM22	913	1	1
CD1B	DC_resting	LM22	871	1	1
CD1C	B_cells_memory	LM22	70	1	0
CD1C	B_cells_naive	LM22	11	2	0
CD1C	DC_resting	LM22	872	1	0
CD1D	Monocytes	LM22	699	0	1
CD1E	DC_activated	LM22	914	1	1
CD1E	DC_resting	LM22	873	1	1
CD2	CD4_memory_act_Tcells	LM22	357	1	0
CD2	CD4_memory_rest_Tcells	LM22	295	2	0
CD2	CD4_naive_Tcells	LM22	245	2	0
CD2	CD8_Tcells	LM22	174	2	0
CD2	NK_resting	LM22	580	2	0
CD2	Tcells	Tirosh	1141	2	1
